Ver. 4 7 real time data, Monday, August 28, 2017 1:58:57 AM
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
17706	972	1.950000	5.640000	3.160000	0.960000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
17846	992	1.930000	5.560000	3.110000	0.960000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
17996	1073	2.060000	5.320000	2.990000	0.940000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
18136	1105	2.180000	5.160000	2.930000	0.970000	0.320000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
18287	1158	2.180000	5.210000	2.920000	0.940000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
18427	1175	2.100000	5.010000	2.800000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
18577	1187	2.100000	4.980000	2.760000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
18717	1205	2.020000	5.020000	2.780000	0.930000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
18858	1215	2.080000	5.570000	3.050000	0.930000	0.330000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
18998	1252	2.140000	5.770000	3.190000	0.940000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
19148	1272	2.140000	5.210000	2.890000	0.940000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
19288	1280	2.020000	5.400000	2.990000	0.930000	0.330000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
19428	1260	2.060000	5.560000	3.080000	0.940000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.820000	0	0	0	
19579	1162	2.060000	5.540000	3.050000	0.930000	0.340000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
19719	1102	1.950000	6.280000	3.480000	0.930000	0.360000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
19869	1040	2.040000	6.640000	3.650000	0.940000	0.380000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
20009	975	2.040000	8.530000	4.760000	0.910000	0.450000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
20149	905	1.970000	9.260000	5.200000	0.940000	0.490000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
20300	893	1.820000	8.910000	5.070000	0.940000	0.500000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
20440	927	1.570000	8.020000	4.470000	0.950000	0.460000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
20590	942	1.480000	7.100000	3.940000	0.960000	0.440000	83.000000	70.000000	250	0.000000	0.000000	0.825000	0	0	0	
20730	942	1.630000	7.230000	3.990000	0.930000	0.480000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
20870	946	1.860000	8.470000	4.760000	0.940000	0.490000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
21021	974	1.900000	8.070000	4.480000	0.950000	0.470000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
21161	1005	1.720000	7.950000	4.390000	0.960000	0.460000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
21311	1054	1.750000	7.810000	4.280000	0.940000	0.460000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
21451	1070	1.800000	8.720000	4.840000	0.930000	0.510000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
21591	1101	1.860000	8.900000	4.970000	0.940000	0.530000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
21742	1137	1.840000	8.300000	4.670000	0.940000	0.480000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
21882	1035	1.800000	7.940000	4.730000	0.940000	0.500000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
22022	985	1.840000	10.970000	6.320000	0.930000	0.540000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
