 mAir, RPM, O2Sf, Target
168,821,2683,2709.83
168,821,2683,2709.83
168,821,2727,2754.27
168,825,2727,2754.27
168,825,2697,2723.97
165,825,2697,2723.97
165,825,2697,2723.97
166,829,2658,2684.58
166,829,2658,2684.58
166,829,2580,2605.8
166,829,2580,2605.8
166,832,2741,2768.41
166,832,2741,2768.41
164,832,2653,2679.53
164,836,2653,2679.53
164,836,2639,2665.39
162,841,2639,2665.39
162,846,2639,2665.39
156,846,2849,2877.49
156,846,2849,2877.49
146,845,2580,2605.8
146,845,2580,2605.8
149,845,2727,2754.27
149,840,2727,2754.27
149,840,2658,2684.58
145,840,2658,2684.58
145,840,2658,2684.58
142,840,2609,2635.09
142,834,2609,2635.09
137,834,2751,2778.51
137,829,2751,2778.51
118,825,2722,2749.22
118,825,2722,2749.22
107,825,2785,2812.85
107,822,2785,2812.85
107,822,2683,2709.83
108,822,2683,2709.83
108,818,2683,2709.83
106,809,2766,2793.66
106,809,2766,2793.66
109,809,2673,2699.73
109,793,2673,2699.73
109,792,2688,2714.88
106,792,2688,2714.88
106,792,2688,2714.88
106,792,2776,2803.76
106,792,2776,2803.76
108,792,2820,2848.2
108,785,2820,2848.2
108,785,2790,2817.9
109,775,2790,2817.9
109,775,2790,2817.9
107,775,2781,2808.81
107,768,2781,2808.81
107,768,2776,2803.76
114,753,2776,2803.76
114,753,2776,2803.76
118,730,2785,2812.85
118,730,2785,2812.85
118,730,2785,2812.85
121,719,2795,2822.95
121,719,2795,2822.95
121,719,2795,2822.95
118,718,2795,2822.95
118,718,2795,2822.95
124,702,2771,2798.71
124,702,2771,2798.71
124,702,2771,2798.71
127,684,2785,2812.85
127,684,2785,2812.85
127,684,2785,2812.85
131,667,2795,2822.95
131,667,2795,2822.95
131,667,2795,2822.95
128,667,2810,2838.1
128,666,2810,2838.1
128,666,2810,2838.1
135,666,2825,2853.25
135,651,2825,2853.25
135,651,2825,2853.25
143,651,2800,2828
143,640,2800,2828
143,640,2800,2828
159,622,2639,2665.39
159,622,2639,2665.39
159,622,2639,2665.39
156,623,2737,2764.37
156,623,2737,2764.37
156,623,2737,2764.37
154,623,2785,2812.85
154,622,2785,2812.85
154,622,2785,2812.85
156,622,2600,2626
156,622,2600,2626
156,619,2600,2626
161,619,2556,2581.56
161,617,2556,2581.56
161,617,2556,2581.56
173,627,2512,2537.12
173,627,2512,2537.12
173,627,2512,2537.12
185,627,2722,2749.22
185,628,2722,2749.22
185,628,2722,2749.22
189,628,2693,2719.93
189,639,2693,2719.93
189,639,2746,2773.46
192,643,2746,2773.46
192,643,2746,2773.46
192,643,2565,2590.65
189,643,2565,2590.65
189,663,2565,2590.65
184,663,2507,2532.07
184,687,2507,2532.07
183,687,2526,2551.26
183,707,2526,2551.26
183,707,2526,2551.26
175,733,2541,2566.41
175,733,2541,2566.41
175,765,2546,2571.46
178,765,2546,2571.46
178,765,2546,2571.46
184,786,2561,2586.61
184,786,2561,2586.61
168,786,2600,2626
168,816,2600,2626
163,841,2614,2640.14
163,841,2614,2640.14
163,841,2629,2655.29
158,867,2629,2655.29
158,871,2443,2467.43
161,871,2443,2467.43
161,871,2697,2723.97
160,877,2697,2723.97
160,877,2688,2714.88
158,886,2688,2714.88
156,886,2634,2660.34
156,902,2634,2660.34
158,902,2653,2679.53
158,909,2653,2679.53
157,913,2590,2615.9
157,913,2575,2600.75
158,916,2575,2600.75
158,921,2624,2650.24
158,921,2624,2650.24
158,921,2590,2615.9
157,921,2590,2615.9
157,921,2448,2472.48
158,918,2448,2472.48
160,918,2570,2595.7
160,917,2570,2595.7
160,921,2453,2477.53
160,921,2453,2477.53
160,921,2473,2497.73
159,917,2473,2497.73
157,919,2380,2403.8
157,919,2380,2403.8
158,919,2375,2398.75
158,918,2375,2398.75
159,924,2350,2373.5
159,924,2350,2373.5
158,924,2605,2631.05
158,926,2605,2631.05
158,927,2409,2433.09
158,927,2409,2433.09
159,927,2517,2542.17
159,925,2517,2542.17
157,925,2453,2477.53
157,925,2453,2477.53
157,925,2556,2581.56
157,923,2556,2581.56
158,923,2600,2626
158,923,2600,2626
158,923,2404,2428.04
158,930,2629,2655.29
157,930,2629,2655.29
155,930,2438,2462.38
155,927,2438,2462.38
156,927,2424,2448.24
156,925,2424,2448.24
156,925,2453,2477.53
156,924,2453,2477.53
156,932,2487,2511.87
156,932,2487,2511.87
156,932,2434,2458.34
156,932,2434,2458.34
154,932,2517,2542.17
154,924,2517,2542.17
155,924,2546,2571.46
155,920,2546,2571.46
157,923,2629,2655.29
157,923,2629,2655.29
155,923,2619,2645.19
155,923,2619,2645.19
155,922,2683,2709.83
155,921,2683,2709.83
156,921,2668,2694.68
156,927,2668,2694.68
157,927,2732,2759.32
157,927,2732,2759.32
156,924,2609,2635.09
156,924,2609,2635.09
156,923,2585,2610.85
156,923,2585,2610.85
159,923,2605,2631.05
159,921,2605,2631.05
157,921,2556,2581.56
157,925,2556,2581.56
156,923,2580,2605.8
156,923,2580,2605.8
157,923,2693,2719.93
157,923,2693,2719.93
156,923,2575,2600.75
156,916,2575,2600.75
161,916,2653,2679.53
161,916,2653,2679.53
161,921,2712,2739.12
161,916,2712,2739.12
159,911,2546,2571.46
159,911,2546,2571.46
159,911,2585,2610.85
159,910,2585,2610.85
160,916,2575,2600.75
160,916,2575,2600.75
161,916,2624,2650.24
161,916,2624,2650.24
158,919,2634,2660.34
158,922,2634,2660.34
152,922,2624,2650.24
152,918,2624,2650.24
155,923,2688,2714.88
155,923,2688,2714.88
158,923,2624,2650.24
158,919,2624,2650.24
156,921,2561,2586.61
156,921,2561,2586.61
155,921,2673,2699.73
155,918,2673,2699.73
154,920,2678,2704.78
154,920,2678,2704.78
155,920,2605,2631.05
155,919,2605,2631.05
162,917,2614,2640.14
162,917,2614,2640.14
157,917,2614,2640.14
157,916,2614,2640.14
156,919,2702,2729.02
156,919,2702,2729.02
152,919,2756,2783.56
152,916,2756,2783.56
152,913,2727,2754.27
154,913,2727,2754.27
153,913,2668,2694.68
153,914,2668,2694.68
153,914,2737,2764.37
152,918,2737,2764.37
153,918,2702,2729.02
153,917,2702,2729.02
153,910,2644,2670.44
153,910,2644,2670.44
155,910,2712,2739.12
155,901,2712,2739.12
155,905,2790,2817.9
155,905,2790,2817.9
152,905,2898,2926.98
152,899,2898,2926.98
153,896,2683,2709.83
